Brand,Description,Score
Château de Bellet Blanc,"Moderately supported dress. Very complex and expressive nose: pear, cooked apple, brandy, citrus, butter, toasted, honey, pepper ... Mouth: a lot of nerve, a lot of volume in the mouth, a lot of subtlety. Sugar and alcohol well present, but in perfect balance. With 5 more years he will reach heights.","4,5"
Château de Bellet Blanc,"Very nice wine, beautiful body, suave, beautiful length. Beautiful conservation for a 2012",4
Château de Bellet Blanc,"Very nice discovery! A Niçois wine made from the endemic variety, the Folle Noire (60%), to which is added 40% of Grenache. AOP Nice, one of the smallest in France.",5
Château de Bellet Blanc,"A great classic of the Niçoise region, fruity, powerful, it is a white wine of the sun which matches perfectly our Mediterranean dishes","4,5"
Château de Bellet Blanc,"Organic white wine, round, full-bodied, aromatic, excellent value for money",4
Château de Bellet Blanc,"Excellent discovery, deep wine, yellow fruits and smoked aroma, ideal with seafood! I highly recommend !","4,5"
Château de Bellet Blanc,Millesime 2016 Excellent wine May match a meal such as Saint Jacques with truffle and poultry and citrus fruit dessert Take a box without hesitation!,"4,5"
Château de Bellet Blanc,"Complex and elegant nose: fruits (pear, apple, citrus ...) butter, honey. Nice roundness revived by a tannic finale. To keep until 5 years old and to taste on a blanquette, a square of pork with honey ",5
Château de Bellet Blanc,Nose fruit brandy of butter grilled honey apple cooked complex full-bodied mouth and finish is balanced,4
Château de Bellet Blanc,Drank on a boletus bisque,4
Château de Bellet Blanc,"Nose of nuts, dried fruits. A tense mouth, a bit confusing for lovers of fruity whites. Flexible and pleasant.",3
Château de Bellet Blanc,"Best white I've ever had. First time tasting such a pronounced Vanilla and oaky flavour to the point I'm floating in the clouds in this heavenly glass. Nice acidity, balanced subtle sweetness, smooth yet sharp. Sublime!","4,5"
Château de Bellet Blanc,*kisses fingers * muah!,"4,5"
Château de Bellet Blanc,Too much oak,"2,5"
Château de Bellet Blanc,"Apricot, pineappel, Passion fruit. Wellicht ballance between acidity. Alcohol and die tot the tropical fruit IT shows sweetness. A real top wind from 100%rolle",5
Château de Bellet Blanc,"How often do you drink Rolle? Exactly. This has made me curious atleast. Interesting nose, cakey spicy sweet vanilla oak. On the palate quite some sweet oak also, but refined and appealing oak. Drippingly juicy tropical fruit, creamy and crisp.",4
Château de Bellet Blanc,"Great organic white from Nice. Powerful, oily, mint finish. Meeeeeeega !!!!","4,5"
Château de Bellet Blanc,"Lovely. Fousty, lots of straw and damp and mould. All good things (as ever). Hay and butter and baking. Strawberry tart.",5
Château de Bellet Blanc,"On the nose it is spicy and with notes of vanilla, in the mouth it shows aromas of pastries, butter, and more subtle tropical fruits and herbs. FIRST TIME I try the Rolle variety, at first you tend to establish a parallel with the reference of a Chardonnay, but then you see that this variety has its own personality. Dry, but with a sweetish smudge, it is elegant and a surprising wine, it is deep and pleasant to the palate. I do not think there are many bottles, if you find it, try it.",4
Château de Bellet Blanc,Excellent very aromatic wine,4
Château de Bellet Blanc,"Oak at the front but doesn’t linger, soft finish",4
Château de Bellet Blanc,Very nice with oaky tones,"4,5"
Château de Bellet Blanc,"Solid wine with a lot of depth due to barrel fermentation and time. Balanced oak, vanilla, butter with tropical fruit.",4
Château de Bellet Blanc,"Second Bellet wine for me. Quite interesting! 100% rolle grapes a little oak, buttery and peach taste.",4
Château de Bellet Blanc,"No oak. Floral. Apricots, Apple. Fruity.",4
Château de Bellet Blanc,"Beautiful nose, good grip in the mouth but still pleasant, very herbal/spicy","3,5"
Château de Bellet Blanc,Very rich and intense taste. Full bodied but fresh.,4
Château de Bellet Blanc,"White fruits, flowers, minerals. Creamy, good length. 87 p",4
Château de Bellet Blanc,"AOP Bellet. Light straw yellow, beautifully beautiful. Floral, yellow fruit, nuts, lactic, peach. Very promising nose. Juicy and round my mouth, somewhat creamy and peppery, ending in a bitterness. Balance ok. Yellow fruit, slightly peppery and spicy. Hint of oak and wood use. Good length of 6-7 sec. Do not serve too cold. 100% Rolle. Nice but special wine. Earlier meal wine with buttery sauce and the necessary complex composition. Fried fish or chicken with cream sauce. Wing wood dominates quickly.",3
Château de Bellet Blanc,Super nice wine with balanced sweetness and dryness in the taste. Hint of vanilla / oak with the well-known smoked flavor note. A fruity introduction that moves into a dry aftertaste. Definitely recommendable.,4
Château de Bellet Blanc,"Tasted for wine tasting at the Chateau. An ok white wine, but the price pulls it just half a star down. € 32 is definitely not worth it","2,5"
Château de Bellet Blanc,"Lovely Smith finish, nice mouth feel. Has a nice mineral quality to it.",4
Château de Bellet Blanc,Great White wine 100% of the local grape Rolle,5
Château de Bellet Blanc,"Absolutely stunning. Fresh ripe fruit flavours, not over sweet. Oak does wonders - lots of vanilla and toast. No one can dislike this wine",5
Château de Bellet Blanc,100% Role from very small wine region. Nice fused wood.,4
Château de Bellet Blanc,"Wow, a lovely wine. Agree, like a top end riesling",5
Château de Bellet Blanc,Smooth and buttery. Great wine- from Andy in France,4
Château de Bellet Blanc,"Close to a Riesling in the nose. Petrol, flowery. Exotic fruits.",4
Château de Bellet Blanc,Very nice white 100% of local grape Rolle.,4
Château de Bellet Blanc,"Strawberry, light, delicate, wonderful",4
Château de Bellet Blanc,We had it with duck steak and it made a good combination. Fruity and vivid.,4
Château de Bellet Blanc,Nice body and very tasty. We really liked it.,5
Château de Bellet Blanc,Delicious deep and fruity white wine,5
Château de Bellet Blanc,Fruit,"3,5"
Château de Bellet Blanc,Top,4
Château de Bellet Blanc,Very good!,"3,5"
Château de Bellet Blanc,"Very exciting, a little mineral, but super for fish.",4
Agnes Rouge,Yummy,5
Agnes Rouge,Wait until 2020 to open !!!! Will be an excellent wine!,5
Château de Bellet Rose,"Marvelous Rose from winery with origins dating back to Italian royal House of Savoy When in the Provence .... I was lucky to taste this exquisite Rosé Grape: 100% Braquet Intense and beautifully dark rosé colored Aromas of red cherries, raspberry, apricot and roses nicely blend together On the palate; soft, smooth, dry with crispy freshness. Intense end persisting final surprisingly characterized by black pepper that gives it a really nice and unexpected punch! Paired excellent with grilled meat 89!",4
Château de Bellet Rose,"Tasting at Bellet winery, Provanse One of three wines presented on degustation - and second place winer 4+ This fine is ready to drink and is far away from regular flat Provanse rose's. Dry, bold and elegant - I think is best rose I have tasted. Elegant and floral aromatic. Could be perfect companion to savory meal, even pork meat. Goat cheese should be best mate to it 😋 It's also very rare Rose to get - production is very limited and on high demand in fancy local restaurants",4
Château de Bellet Rose,Nice rose. Raspberry and good fruit in the pallet.,4
Château de Bellet Rose,Exceptional finesse,"4,5"
Château de Bellet Rose,Floral.,"3,5"
Château de Bellet Rose,Neither resembles the Rose of Provence. Very interesting with acidity present and asks for a food to accompany. Beautiful wine,"3,5"
Château de Bellet Rose,Strong raisin flavor,3
La Chapele Blanc,Very beautiful Bellet,4
La Chapele Blanc,"100% rolle hard to get in NL but if you can buy one, definitely do. Flowery full of fruit and minerals a little oak really a special experience. A bit smoky and full of flavor.","4,5"
La Chapele Blanc,Pretty good,4
La Chapele Blanc,"Wallnut, nutty",3
La Chapele Blanc,Solid white. It seems to fit with Omar shrimp and fish butter saute,3
